pêhow __ V __ AI __ AN waits, s/he waits, he waits, she waits __ French __ MOVE __ I8
akihcikêw __ V __ AI __ AN counts, s/he counts, he counts, she counts __ French __ QUANTITY __ I8
akihtam __ V __ TI __ AN counts IN, s/he counts IN, he counts IN, she counts IN __ French __ QUANTITY __ I8
akimêw __ V __ TA __ AN counts AN, s/he counts AN, he counts AN, she counts AN __ French __ QUANTITY __ I8
âpihtâ-kîsikâw __ V __ II __ it is noon __ French __ TIME __ I8
âpihtâ-tipiskâw __ V __ II __ it is midnight __ French __ TIME __ I8
kîsikâw __ V __ II __ it is day __ French __ TIME __ I8
tipiskâw __ V __ II __ it is night __ French __ TIME __ I8
wâpan __ V __ II __ it is dawn __ French __ TIME __ I8
pêtâpan __ V __ II __ it is dawn __ French __ TIME __ I8
otâkosin __ V __ II __ it is evening __ French __ TIME __ I8
kîkisêpâyâw __ V __ II __ it is morning __ French __ TIME __ I8
ayamihâwi-kîsikâw (ayami'hew'kîsikâw) __ V __ II __ it is Sunday __ French __ DAYS_OF_THE_WEEK __ I9
pôn-âyamihêwi-kîsikâw (pônâyamihew'kîsikâw) __ V __ II __ it is Monday __ French __ DAYS_OF_THE_WEEK __ I9
nîso-kîsikâw __ V __ II __ it is Tuesday __ French __ DAYS_OF_THE_WEEK __ I9
nisto-kîsikâw __ V __ II __ it is Wednesday __ French __ DAYS_OF_THE_WEEK __ I9
nêwo-kîsikâw __ V __ II __ it is Thursday __ French __ DAYS_OF_THE_WEEK __ I9
niyânano-kîsikâw __ V __ II __ it is Friday __ French __ DAYS_OF_THE_WEEK __ I9
nikotwâsiko-kîsikâw __ V __ II __ it is Saturday __ French __ DAYS_OF_THE_WEEK __ I9
itakihtêw __ V __ II __ IN costs, it costs __ French __ FINANCE __ I9
itakisow __ V __ II __ AN costs, s/he costs __ French __ FINANCE __ I9
itahtopiponêw __ V __ AI __ AN is years old, s/he is years old, he is years old, she is years old __ French __ TIME __ I9
isiwêpan __ V __ II __ weather is, weather is like __ French __ WEATHER __ I9
wâsêskwan __ V __ II __ the sky is clear __ French __ WEATHER __ I9
kâcitina __ V __ TI __ AN receives IN, s/he receives IN, he receives IN, she receives IN, s/he gets IN, he gets IN, she gets IN, __ French __ FINANCE __ I9
sôniyâhkêw __ V __ AI __ AN earns money, s/he earns money, he earns money, she earns money, AN makes money, s/he makes money, he makes money, she makes money __ French __ FINANCE __ I9
otahowêw __ V __ AI __ AN wins, s/he wins, he wins, she wins __ French __ CONFLICT __ I9
kocîw __ V __ AI __ AN tries, s/he tries, he tries, she tries __ French __ WORK __ I10
kocîhtâw __ V __ TI __ AN tries IN, s/he tries IN, he tries IN, she tries IN __ French __ WORK __ I10
kocîhêw __ V __ TA __ AN tries AN, s/he tries AN, he tries AN, she tries AN __ French __ WORK __ I10
pêtâw __ V __ TI __ AN brings IN, s/he brings IN, he brings IN, she brings IN __ French __ MOVE __ I10
pêsiwêw __ V __ TA __ AN brings AN, s/he brings AN, he brings AN, she brings AN __ French __ MOVE __ I10
nâtam __ V __ TI __ AN gets IN, s/he gets IN, he gets IN, she gets IN __ French __ FINANCE __ I10
nâtêw (nâs?) __ V __ TA __ AN gets AN, s/he gets AN, he gets AN, she gets AN __ French __ FINANCE __ I10
âkayâsîmow __ V __ AI __ AN speaks English, s/he speaks English, he speaks English, she speaks English __ French __ COMMUNICATION __ I11
ayamihâw __ V __ AI __ AN prays, s/he prays, he prays, she prays __ French __ RELIGION __ I11
pimipahtâw __ V __ AI __ AN runs, s/he runs, he runs, she runs __ French __ MOVE __ I11
têpwêw __ V __ AI __ AN calls, s/he calls, he calls, she calls, AN shouts, s/he shouts, he shouts, she shouts __ French __ COMMUNICATION __ I11
otinêw __ V __ TA __ AN picks up AN, s/he picks up AN, he picks up AN, she picks up AN, s/he takes up AN, he takes up AN, she takes up AN __ French __ MOVE __ I12
otinam __ V __ TI __ AN picks up IN, s/he picks up IN, he picks up IN, she picks up IN, AN takes up IN, s/he takes up IN, he takes up IN, she takes up IN __ French __ MOVE __ I12
itohtahêw __ V __ TA __ AN takes AN to a certain location over distance, s/he takes AN to a certain location over distance, he takes AN to a certain location over distance, she takes AN to a certain location over distance, AN takes AN there, s/he takes AN there, he takes AN there, she takes AN there __ French __ MOVE __ I12
itohtatâw __ V __ TI __ AN takes IN to a certain location over distance, s/he takes IN to a certain location over distance, he takes IN to a certain location over distance, she takes IN to a certain location over distance, AN takes IN there, s/he takes IN there, he takes IN there, she takes IN there __ French __ MOVE __ I12
naskwênêw __ V __ TA __ AN picks up AN over distance, s/he picks up AN over distance, he picks up AN over distance, she picks up AN over distance __ French __ MOVE __ I12
naskwênam (naskwena?) __ V __ TI __ AN picks up IN over distance, s/he picks up IN over distance, he picks up IN over distance, she picks up IN over distance __ French __ MOVE __ I12
tahkonêw __ V __ TA __ AN carries AN, s/he carries AN, he carries AN, she carries AN __ French __ MOVE __ I12
tahkonam __ V __ TI __ AN carries IN, s/he carries IN, he carries IN, she carries IN __ French __ MOVE __ I12
pîkonêw __ V __ TA __ AN breaks AN, s/he breaks AN, he breaks AN, she breaks AN __ French __ PHYSICAL_IMPACT __ I12
pîkonam __ V __ TI __ AN breaks IN, s/he breaks IN, he breaks IN, she breaks IN __ French __ PHYSICAL_IMPACT __ I12
nakasiwêw (nakas?) __ V __ TA __ AN leaves AN, s/he leaves AN, he leaves AN, she leaves AN __ French __ STATE __ I12
nakatam __ V __ TI __ AN leaves IN, s/he leaves IN, he leaves IN, she leaves IN __ French __ STATE __ I12
ahêw __ V __ TA __ AN puts down AN, s/he puts down AN, he puts down AN, she puts down AN, AN sets down AN, s/he sets down AN, he sets down AN, she sets down AN __ French __ MOVE __ I12
astâw __ V __ TI __ AN puts down IN, s/he puts down IN, he puts down IN, she puts down IN, AN sets down IN, s/he sets down IN, he sets down IN, she sets down IN __ French __ MOVE __ I12
