lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
hand,saba,häntä,tail,seaibi,hale,svans,hale_DEU,N,ANIMAL_OTHER,https://synaq.org/priv/heli/ev/0001j-01106.mp3,,,
hapnõqkapstaq,hapukapsad,hapankaali,sauerkraut,hapankaali_SME,surkål,surkål,Sauerkraut,N,FOOD_DISH_PL,,,,
hapukurk,hapukurk,suolakurkku,pickled cucumber,suolakurkku_SME,saltagurk,saltgurka,Salzgurke,N,FOOD_DISH,FOOD_GROCERY_PL,,,
hapupiim,hapupiim,piimä,sour milk,loahppemielki,bipmi,syrnet melk,surmjölk,Sauermilch,N,DRINK,https://synaq.org/priv/heli/ev/0001h-00412.mp3,,
har'otama,harjutama,harjoitella,train,hárjehallat,trene,träna,üben,V,ACTION_V,MORFAC_V,https://synaq.org/priv/heli/ev/0001h-00480.mp3,,
har'otus,harjutus,harjoitus,exercise,hárjehus,øving,övelse,øving_DEU,N,SCHOOL,https://synaq.org/priv/heli/ev/0001h-00482.mp3,,,
harak,harakas,harakka,magpie,skire,skjære,skata,skjære_DEU,N,BIRD,https://synaq.org/priv/heli/ev/0001h-00413.mp3,,,
harinõma,harjuma,tottua,get used to,hárjánit,venne seg til,vänja sig till,sich gewöhnen an,V,EXPERIENCE_V,https://synaq.org/priv/heli/ev/0001h-00471.mp3,,,
haud,haud,hauta,grave,hávdi,grav,grav_SWE,grav_DEU,N,CONSTRUCTION,https://synaq.org/priv/heli/ev/000101682.mp3,,,
haukma,haukuma,haukkua,bark,ciellat,bjeffe,skälla,bellen,V,ANIMAL_V,https://synaq.org/priv/heli/ev/0001h-00598.mp3,,,
heering,heeringas,silli,herring,sallit,sild,sill,sild_DEU,N,FISH,https://synaq.org/priv/heli/ev/0001h-00663.mp3,,,
helü,hääl,ääni,sound,jietna,lyd,ljud,Laut,N,SOUND,https://synaq.org/priv/heli/ev/0001h-00763.mp3,,,
herneq,herned,herneet,peas,earttat,erter,ärter,Erbsen,N,FOOD_DISH_PL,FOOD_GROCERY_PL,https://synaq.org/priv/heli/ev/0001h-00863.mp3,,
heränemä,ärkama,herätä,wake up,lihkkat,stå opp,röra sig,sich bewegen,V,HUM_V,https://synaq.org/priv/heli/ev/000100642.mp3,,,
herätämä,äratama,herättää,wake someone,rávkat,be om,väcka,aufwecken,V,VERBAL_V,https://synaq.org/priv/heli/ev/000100638.mp3,,,
higonõma,higistama,hikoilla,sweat,bivastuvvat,svette,svettas,schwitzen,V,BODY_V,https://synaq.org/priv/heli/ev/0001h-00881.mp3,,,
