LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
heti __ Adv __ x __ snart, straks __ heti __ at once __ TIME_ADV, MOVEMENT_ADV __ MJ3 
hiljain __ Adv __ x __ sent __ myöhään __ late __ TIME_ADV, MOVEMENT_ADV __ MJ1 
huomena __ Adv __ x __ i morgen __ huomenna __ tomorrow __ TIME_ADV, MOVEMENT_V, ACTION_ADV __ MJ4 
hyvin __ Adv __ x __ bra, meget __ hyvin __ well, very __ EXPRESSIONS_ADV, HUMAN_ADV  __ MJ1 
ilman __ Adv __ x __ vel, gratis __ kai, ilmainen __ perhaps, free of charge __ ACTION_ADV __ MJ1 
jo __ Adv __ x __ allerede __ jo __ already __ TIME_ADV __ MJ1 
justhiin __ Adv __ x __ akkurat, nettopp __ juuri __ exactly, precisely, just  __ ACTION_ADV, MOVEMENT_ADV __ MJ3 
juuri __ Adv __ x __ akkurat, så vidt __ juuri __ exactly, precisely, only just __ ACTION_ADV __ MJ3 
koska __ Adv __ x __ når __ milloin, koska __ when __ ACTION_ADV, MOVEMENT_ADV __ MJ4 
kotona __ Adv __ x __ hjemme __ kotona __ at home __ PEOPLE_ADV __ MJ3 
kuitenki __ Adv __ x __ likevel, i hvert fall __ kuitenkin __ although, nevertheles __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
kunka __ Adv __ x __ hvordan, på hvilken måte __ kuinka, miten __ how __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
kyllä __ Adv __ x __ nok __ kyllä __ certainly, indeed __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
liijan __ Adv __ x __ altfor __ liian __ too __ HUMAN_ADV __ MJ1 
lämpimästi __ Adv __ x __ varmt __ lämpimästi __ warmly __ WEATHER_ADV __ MJ1 
muuvale __ Adv __ x __ til et annet sted __ muualle __ somewhere else __ MOVEMENT_ADV __ MJ4 
myötä __ Adv __ x __ med __ mukana __ with, along, together __ PEOPLE_ADV __ MJ3 
niin __ Adv __ x __ så __ niin __ so __ TIME_A, HUMAN_ADV __ MJ1 
nuoin __ Adv __ x __ så der __ noin __ so __ TIME_ADV __ MJ4 
oikhein __ Adv __ x __ rett, riktig __ oikein __ correct, right __ HUMAN_ADV __ MJ1 
