ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
должен;до́лжен;;;MiP;L3;must, ought to, should;burde, skulle;burde, skulle, måtte;;;
дом;дом;;;MiP;B1;house, building;hus;hus;;;
дома;до́ма;;;MiP;B1;at home;hjemme;hjemme;;;
домой;домо́й;;;MiP;L6;to home;hjem;hjem;;;
дорога;доро́га;;;MiP;L16;road;vej;veg;;;
дорого;до́рого;;;MiP;L8;dearly;dyrt;dyrt;;;
дорогой;дорого́й;;;MiP;L5;dear, expensive;dyr, kær;dyr, kjær;;;
доска;доска́;;;MiP;B1;blackboard;tavle ;tavle;;;
дочь;дочь;;;MiP;B5;daughter;datter;datter;;;
друг;друг;;;MiP;L7;friend;ven;venn;;;
другой;друго́й;;;MiP;L2;other;anden;annen;;;
думать;ду́мать;;;MiP;L9;think;tænke, mene;tenke, mene;;поду́мать;
душ;душ;;;MiP;L10;shower;brusebad, bruser;dusj;;;
душа;душа́;;;MiP;L21;soul;sjæl;sjel;;;
дядя;дя́дя;;;MiP;B9;uncle;onkel;onkel;;;
Европа;Евро́па;;;MiP;;Europe;Europa;Europa;;;
его;его́;;;MiP;B4;his;hans;hans;;;
еда;еда́;;;MiP;L18;food;mad;mat;;;
ее;её;;;MiP;B4;her;hendes;hennes;;;
если;е́сли;;;MiP;L3;if;hvis;hvis;;;
есть;есть;;;MiP;L8;eat;spise;spise;;съесть;
ехать;е́хать;;;MiP;L11;ride;køre;kjøre;;пое́хать;
еще;ещё;;;MiP;B7;still;endnu, endvidere, også, mere;ennå, også, mer;;;
ждать;ждать;;;MiP;L6;wait;vente;vente;;подожда́ть;
же;же;;;MiP;B9;precisely;netop;nettopp;;;
желать;жела́ть;;;MiP;L15;desire;ønske;ønske;;пожела́ть;
жена;жена́;;;MiP;B4;wife;hustru, kone;kone;;;
женатый;жена́тый;;;MiP;L14;married man;gift mand;gift mann;;;
жениться;жени́ться;;;MiP;L21;get married;gifte sig ;gifte seg ;;;
