ieš+Pron+Refl+Ill+PxDu2+Use/NG	alccade
ieš+Pron+Refl+Ill+PxDu2+Use/NG	alccede

ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte

ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte

ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
ieš+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte

ieš+Pron+Refl+Gen+PxDu3+Use/NG	iežaideaskka

ieš+Pron+Refl+Acc+PxDu3+Use/NG	iežaideaskka

ieš+Pron+Refl+Gen+PxDu3+Use/NG	iežaideaskka

ieš+Pron+Refl+Acc+PxDu3+Use/NG	iežaideaskka

ieš+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcceska

ieš+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcceska

ieš+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
ieš+Pron+Refl+Ill+PxDu3+Use/NG	alcceska

ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka

ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
