kell|S|clock|час, часы|Uhr|kello|5
kiiresti|Adv|quickly|быстро|schnell|nopeasti|5
kohe|Adv|immediately|сразу|sofort|heti, kohta|5
kolmapäev|S|Wednesday|среда|Mittwoch|keskiviikko|5
koos minuga|MWE|together with me|вместе со мной|mit mir zusammen|minun kanssa|5
kuhu|Adv
kuidas|Adv
kui palju?|MWE
laev|S|ship|корабль|Schiff|laiva|5
laupäev|S|Saturday|суббота|Samstag|lauantai|5
lehm|S|cow|корова|Kuh|lehmä|5|ANIMAL_DOM
lennuk|S|plane|самолёт|Flugzeug|lentokone|5
loeng|S|lecture|лекция|Vorlesung|luento|5
lõpp|S|end|конец|Ende|loppu|5
lõppema|V|to end, to finish|кончаться, заканчиваться|beenden|lopettaa, päättää|5
lähedal|Adv|close|вблизи|nahe|lähellä|5
maksma|V|to pay|стоить, платить|bezahlen, kosten|maksaa|5
meeter|S|meter|метр|Meter|metri|5
miks|Adv
miks|S
millal|Adv
minema|V|to go|идти, пойти|gehen|mennä|5
minut|S|minute|минута|Minute|minuutti|5
mõte|S|idea, thought|мысль, идея|Idee, Gedanke|ajatus|5
neljapäev|S|Thursday|четверг|Donnerstag|torstai|5
nädal|S|week|неделя|Woche|viikko|5
nädalavahetus|S|weekend|конец недели|Wochenende|viikonvaihde|5
peatus|S|stop, post|остановка|Haltestelle|pysäkki|5
piim|S|milk|молоко|Milch|maito|5|DRINK
pilet|S|ticket|билет|Fahrkarte, Eintrittskarte|(matka)lippu, matkalippu, lippu|5
pool|S|half|половина|halb|puoli|5
praam|S|ferry|паром|Fähre|lautta|5
pühapäev|S|Sunday|воскресенье|Sonntag|sunnuntai|5
raha|S|money|деньги|Geld|raha|5
raudteejaam|S|train station|железнодорожный вокзал|Bahnhof|rautatieasema|5
reede|S|Friday|пятница|Freitag|perjantai|5
rong|S|train|поезд|Zug|juna|5
seal|Adv|there|там|dort|siellä|5
sealt|Adv|from there|оттуда|von dort|sieltä|5
sein|S|wall|стена|Wand|seinä|5
sekund|S|second|секунда|Sekunde|sekunti|5
sent|S|cent|цент|Cent|sentti|5
siia|Adv|to here|сюда|hierhin|tänne|5
siit|Adv|from here|отсюда|hierher|täältä|5
sild|S|bridge|мост|Brücke|silta|5
sinna|Adv|to there, there|туда|dahin|sinne, siihen, tuonne|5
sooduspilet|S|discount ticket|льготный билет|ermäßigte Fahrkarte|alennuslippu|5
sularaha|S|cash|наличные|Bargeld|käteinen raha|5
sõiduk|S|vehicle|транспортное средство|Verkehrsmittel|ajoneuvo|5
sõiduplaan|S|schedule|расписание движения|Fahrplan|aikataulu|5
sõitma|V|to drive, to ride|ездить, ехать|fahren|matkustaa, ajaa|5
tagasi|Adv|back|назад|zurück|takaisin|5
takso|S|taxi|такси|Taxi|taksi|5
tegema|V|to do, to make|делать|machen, tun|tehdä|5
teisipäev|S|Tuesday|вторник|Dienstag|tiistai|5
tellimine|S|ordering|заказ|Bestellung|tilata|5
tramm|S|tram, streetcar|трамвай|Straßenbahn|raitiovaunu|5
troll|S|trolley bus|троллейбус|Oberleitungsbus|johdinauto, trolleybussi|5
tulema|V|to come|идти, приходить|kommen|tulla|5
tund|S|lesson, hour|час, урок|Stunde, Unterrichtsstunde|tunti|5täna|today|сегодня|heute|tänään|5
tänama|V|to thank|благодарить|danken|kiittää|5
tänan väga|MWE|thank you very much|благодарю|danke sehr!|suuri kiitos|5
suur tänu|MWE|(big) thank you! thank you! big thank you!|большое спасибо|vielen Dank!|kiitos paljon|5
tähtis|A|important|важный|wichtig|tärkeä|5
täpselt|Adv|exactly|точно|genau|täsmälleen|5
uks|S|door|дверь|Tür|ovi|5
vanemad| X|parents|родители|Eltern|vanhemmat|5|FAMILY
vara|Adv|early|рано|früh|aikaisin|5
veab| X|transports|возит|transportiert|kuljettaa, vetää|5
viga|S|mistake|ошибка|Fehler|vika|5
viima|V|to take somewhere|нести, веcти|bringen, tragen|viedä|5
viimane|A|last|последний|letzte, letzter, letztes|viimeinen|5
vist|Adv|probably|наверное|wahrscheinlich|kai, ehkä, kenties|5
võib-olla|Adv|maybe|может быть|vielleicht|voi olla|5
välja|Adv|out|вы–, из|heraus|ulos|5
üleeile|Adv|day before yesterday|позавчера|vorgestern|toissa päivänä|5
ülehomme|Adv|day after tomorrow|послезавтра|übermorgen|ylihuomenna|5
üles tõusma|MWE|to get up|просыпаться|aufstehen|nousta|5
aastaaeg|S
aed|S
alati|Adv
algus|S
all|Adv
ei ... ega|MWE
enam|Adv
huvitav|A
hüppas| X
ise|Adv
ise|Pron
jalutama|V
jooksma|V
jõgi|S
jõulud| X
jõul|
jänes|S
keskel|Adv
kevad|S
koht|S
kraad|S
kuid|
kunagi|Adv
kõik|Pron
käima|V
küla|S
külm|S
külm|A
laulma|V
leht|S
lendama|V
lind|S
loss|S
lumemees|S
lumememm|
lumi|S
lund sajab|MWE
lõbus|A
mets|S
milline|Pron
missugune|Pron
