kolmveerand üks|a quarter to one|без четверти час|viertel vor eins|varttia vaille yksi|5
koos minuga|together with me|вместе со мной|mit mir zusammen|minun kanssa|5
kuhu?|to where?|куда?|wohin?|minne? mihin?|5kui|if|если, как, словно|wie, als|kun, jos, kuin|5
kuidas?|how?|как?|wie?|kuinka?|5
kui palju?|how much?|сколько?|wieviel? wie viel? wie viele?|kuinka paljon?|5
laev|ship|корабль|Schiff|laiva|5
laupäev|Saturday|суббота|Samstag|lauantai|5
lehm|cow|корова|Kuh|lehmä|5
lennuk|plane|самолёт|Flugzeug|lentokone|5
loeng|lecture|лекция|Vorlesung|luento|5
lõpp|end|конец|Ende|loppu|5
lõppema|to end, to finish|кончаться, заканчиваться|beenden|lopettaa, päättää|5
läheb|goes|идёт|geht|lähtee|5
lähedal|close|вблизи|nahe|lähellä|5
maksma|to pay|стоить, платить|bezahlen, kosten|maksaa|5
meeter|meter|метр|Meter|metri|5
meetreid|5
miks?|why?|почему?|warum?|miksi?|5
millal?|when?|когда?|wann?|milloin?|5
millega?|by what? with what?|чем? с чем?|womit?|millä?|5
minema|to go|идти, пойти|gehen|mennä|5
minut|minute|минута|Minute|minuutti|5
mõte|idea, thought|мысль, идея|Idee, Gedanke|ajatus|5
neljapäev|Thursday|четверг|Donnerstag|torstai|5
nädal|week|неделя|Woche|viikko|5
nädalavahetus|weekend|конец недели|Wochenende|viikonvaihde|5
peab|has to|должен, надо|muss|pitää, täytyy|5
peatus|stop, post|остановка|Haltestelle|pysäkki|5
piim|milk|молоко|Milch|maito|5
pilet|ticket|билет|Fahrkarte, Eintrittskarte|(matka)lippu, matkalippu, lippu|5
pool|half|половина|halb|puoli|5
praam|ferry|паром|Fähre|lautta|5
pühapäev|Sunday|воскресенье|Sonntag|sunnuntai|5
raha|money|деньги|Geld|raha|5
raudteejaam|train station|железнодорожный вокзал|Bahnhof|rautatieasema|5
reede|Friday|пятница|Freitag|perjantai|5
rong|train|поезд|Zug|juna|5
seal|there|там|dort|siellä|5
sealt|from there|оттуда|von dort|sieltä|5
sein|wall|стена|Wand|seinä|5
sekund|second|секунда|Sekunde|sekunti|5
sent|cent|цент|Cent|sentti|5
siia|to here|сюда|hierhin|tänne|5
siit|from here|отсюда|hierher|täältä|5
sild|bridge|мост|Brücke|silta|5
sinna|to there, there|туда|dahin|sinne, siihen, tuonne|5
sooduspilet|discount ticket|льготный билет|ermäßigte Fahrkarte|alennuslippu|5
sularaha|cash|наличные|Bargeld|käteinen raha|5
sõiduk|vehicle|транспортное средство|Verkehrsmittel|ajoneuvo|5
sõiduplaan|schedule|расписание движения|Fahrplan|aikataulu|5
sõitma|to drive, to ride|ездить, ехать|fahren|matkustaa, ajaa|5
tagasi|back|назад|zurück|takaisin|5
takso|taxi|такси|Taxi|taksi|5
tegema|to do, to make|делать|machen, tun|tehdä|5
teisipäev|Tuesday|вторник|Dienstag|tiistai|5
tellimine|ordering|заказ|Bestellung|tilata|5
tramm|tram, streetcar|трамвай|Straßenbahn|raitiovaunu|5
troll|trolley bus|троллейбус|Oberleitungsbus|johdinauto, trolleybussi|5
tulema|to come|идти, приходить|kommen|tulla|5
